"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUL97,7,13,6,1,0,6,0,1243,47,661,102,433,333,46,287,232,132,100,276,32,4,66,174,2104,6335,3736,3685,51,698,1901,155,4408,1549,7965,571,916,2515,3963,1920,0,618,263,0,1039,410,53,219,132,6,22742,2950,8,1329,248,136,1229,34,9,4,3,14,2,0,0,2,99,0,366,134,434,15,161,6,45,207,1130,0,402,85,643,0,1920,86,1628,197,9,82,7149
AUG97,5,27,18,0,0,9,0,1319,60,649,111,499,591,74,517,212,123,89,265,43,13,39,170,2419,6001,3594,3530,64,656,1751,153,4318,1342,7674,529,873,2333,3939,2054,0,458,635,0,961,449,64,211,160,14,21991,3058,4,1433,222,157,1242,22,5,2,2,9,3,0,1,0,144,0,368,140,297,29,89,13,43,123,1410,0,457,103,850,3,2180,97,1827,246,10,104,7726
SEP97,10,8,5,0,1,2,0,1293,47,622,96,528,478,77,401,175,84,91,249,36,2,41,170,2213,5636,3436,3384,52,539,1661,139,4096,1352,7150,468,879,2307,3496,1892,0,498,252,0,1142,323,36,128,151,8,20588,2937,12,1287,256,140,1242,8,3,1,1,3,0,0,0,0,138,0,338,162,214,10,78,6,27,93,1292,0,439,67,786,2,1971,82,1670,210,9,84,7146
OCT97,4,15,6,0,2,7,0,1461,55,756,108,542,557,51,506,214,104,110,286,31,3,71,181,2537,6045,3717,3662,55,591,1737,106,4420,1293,7916,570,832,2496,4018,2240,0,586,253,0,1401,420,56,171,185,8,22440,2932,3,1359,241,146,1183,29,6,1,5,16,1,0,0,0,141,1,401,137,293,21,113,4,48,107,1430,0,509,59,862,0,2126,101,1766,244,15,77,7567
NOV97,4,13,12,0,0,1,0,1526,61,750,121,594,444,64,380,201,112,89,293,37,7,57,192,2481,5804,3592,3534,58,529,1683,145,4039,1271,7581,544,891,2242,3904,1480,0,358,261,0,861,414,56,151,200,7,20734,3079,12,1448,236,153,1230,50,9,3,5,28,1,0,0,4,170,0,398,154,300,17,108,3,53,119,1587,0,551,91,945,1,2315,85,1946,273,11,104,8158
DEC97,7,28,15,2,1,10,0,1569,64,780,121,604,585,82,503,178,91,87,285,35,9,43,198,2652,6173,3948,3876,72,617,1608,149,4181,1530,7832,589,884,2411,3948,2311,0,475,269,0,1567,407,53,171,170,13,22583,2981,8,1335,250,243,1145,69,2,1,3,61,0,1,0,1,200,1,482,164,310,30,127,5,40,108,1647,0,578,91,978,18,2242,94,1879,260,9,73,8187
JAN98,3,15,8,1,2,4,0,1503,71,753,110,569,629,62,567,168,90,78,260,25,11,47,177,2578,6859,4376,4289,87,657,1826,156,4553,1550,8028,612,781,2692,3943,2363,0,559,451,0,1353,422,69,192,150,11,23931,2845,10,1250,205,151,1229,15,3,0,2,8,1,0,0,1,187,6,513,201,297,20,115,3,33,126,1757,0,603,105,1049,1,2328,89,1954,271,14,104,8254
FEB98,11,12,9,0,1,2,0,1339,63,689,78,509,444,66,378,162,88,74,260,49,6,41,164,2228,6155,3840,3764,76,578,1737,124,3937,1291,7430,657,773,2327,3673,2190,0,494,224,0,1472,352,61,147,136,8,21479,2704,4,1194,216,139,1151,42,17,3,3,7,0,11,0,1,142,3,402,211,264,20,93,3,47,101,1373,0,497,77,799,3,2055,74,1745,225,11,59,7258
MAR98,3,20,12,0,2,6,0,1577,70,803,98,606,474,79,395,197,100,97,309,35,6,70,198,2580,6550,3937,3865,72,637,1976,139,4232,1244,8106,631,823,2566,4086,2314,0,394,342,0,1578,393,62,186,136,9,22978,2942,9,1371,234,178,1150,48,0,0,1,43,4,0,0,0,144,70,442,164,286,20,102,5,38,121,1398,0,567,78,753,14,2218,69,1877,252,20,88,7814
APR98,5,29,25,0,1,3,0,1324,47,665,89,523,445,53,392,208,103,105,327,46,6,65,210,2338,6496,3891,3819,72,634,1971,105,4138,1231,7385,603,802,2396,3584,2473,0,394,454,0,1625,398,46,196,147,9,22226,2371,16,1107,141,169,938,42,8,0,15,17,1,1,0,0,109,1,387,270,278,22,101,2,63,90,1524,18,708,92,706,1,1851,71,1555,214,11,82,6916
