"Month Year","Age","Sex","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Manslaughter Unlawful Striking Causing Death","Driving Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JAN01,Adult,Female,0,1,1,0,0,0,0,169,12,57,18,82,3,0,3,11,6,5,15,1,0,2,12,199,89,68,58,10,5,16,1,124,53,363,20,230,50,63,288,0,43,63,0,182,84,11,27,45,1,1002,506,3,221,28,9,245,46,7,1,3,35,0,0,0,0,14,1,32,18,37,3,10,0,17,7,368,4,148,14,202,0,348,9,308,31,0,11,1381,1
JAN01,Adult,Male,7,17,14,0,0,0,3,727,37,354,73,263,178,36,142,81,61,20,127,18,4,18,87,1137,873,517,473,44,130,226,17,757,311,1042,101,273,305,363,629,0,144,88,0,397,394,77,95,214,8,4023,1844,11,851,125,73,784,10,1,1,3,5,0,0,0,0,47,1,369,125,308,19,77,6,110,96,1539,9,637,36,857,3,2013,77,1564,369,3,66,6325,2
JAN01,Adult,Not Stated,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3
JAN01,Juvenile,Female,0,0,0,0,0,0,0,40,1,18,1,20,0,0,0,4,3,1,2,0,0,0,2,46,40,15,14,1,6,19,2,56,27,357,9,297,12,39,12,0,0,6,0,6,29,4,16,8,1,523,40,0,22,2,0,16,8,0,0,0,8,0,0,0,0,9,0,0,11,0,0,0,0,0,0,52,1,19,4,28,0,4,1,3,0,0,5,129,4
JAN01,Juvenile,Male,0,2,2,0,0,0,0,87,3,36,10,38,14,1,13,11,4,7,7,0,0,2,5,121,547,196,193,3,129,222,4,420,149,472,24,206,122,120,13,0,0,2,0,11,52,12,26,14,0,1657,142,0,73,6,2,61,0,0,0,0,0,0,0,0,0,36,0,0,87,23,0,5,0,13,5,201,1,62,74,64,0,20,15,5,0,0,23,532,5
JAN01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FEB01,Adult,Female,2,3,1,0,1,0,1,153,11,59,20,63,1,0,1,7,3,4,18,0,0,7,11,184,118,96,88,8,5,17,2,221,72,543,14,223,221,85,302,0,75,62,0,165,87,17,23,47,0,1345,484,2,204,21,12,245,36,11,3,5,16,0,0,0,1,10,0,36,15,33,4,4,0,13,12,350,3,138,12,197,1,343,4,314,25,0,10,1318,7
FEB01,Adult,Male,5,9,7,0,1,0,1,621,34,300,41,246,171,40,131,56,43,13,102,16,1,21,64,964,805,450,406,44,111,244,15,747,313,1046,57,263,331,395,631,0,143,112,0,376,313,51,85,168,9,3870,1881,13,810,130,59,869,18,4,3,9,2,0,0,0,0,42,0,355,128,296,17,81,2,103,93,1319,15,560,21,723,4,1910,70,1535,304,1,68,6021,8
FEB01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
FEB01,Juvenile,Female,0,0,0,0,0,0,0,45,0,17,5,23,1,0,1,3,1,2,5,0,0,0,5,54,40,17,17,0,5,18,0,24,16,182,7,152,8,15,6,0,1,1,0,4,15,3,7,5,0,283,39,0,21,0,3,15,4,0,0,0,4,0,0,0,0,10,0,0,12,1,0,0,0,1,0,53,1,21,10,21,0,1,0,1,0,0,1,121,10
FEB01,Juvenile,Male,0,0,0,0,0,0,0,90,6,47,7,30,16,3,13,20,7,13,10,2,0,1,7,136,343,86,84,2,75,182,4,317,111,451,20,181,117,133,18,0,0,6,0,12,96,20,39,37,0,1340,178,1,86,3,14,74,0,0,0,0,0,0,0,0,0,29,0,3,100,34,1,6,3,15,9,144,0,57,35,52,0,18,6,10,2,0,18,524,11
FEB01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
